t,goodput,throttled,offered,type,name
94.202998, 67, 83, 68, client, client_1_150.00
94.202998, 63, 83, 67, client, client_2_150.00
94.202998, 10, 0, 10, client, client_3_10.00
95.204095, 204, 48, 252, server, server
95.204095, 54, 69, 81, client, client_0_150.00
95.204095, 80, 70, 80, client, client_1_150.00
95.204095, 61, 70, 81, client, client_2_150.00
95.204095, 9, 0, 10, client, client_3_10.00
96.207612, 200, 135, 335, server, server
96.207612, 14, 60, 91, client, client_0_150.00
96.207612, 150, 0, 150, client, client_1_150.00
96.207612, 32, 66, 84, client, client_2_150.00
96.207612, 4, 0, 10, client, client_3_10.00
97.209664, 200, 12, 212, server, server
97.209664, 18, 126, 24, client, client_0_150.00
97.209664, 151, 0, 151, client, client_1_150.00
97.209664, 25, 123, 27, client, client_2_150.00
97.209664, 6, 0, 10, client, client_3_10.00
98.210761, 183, 9, 192, server, server
98.210761, 23, 123, 27, client, client_0_150.00
98.210761, 128, 22, 128, client, client_1_150.00
98.210761, 22, 124, 27, client, client_2_150.00
98.210761, 10, 0, 10, client, client_3_10.00
99.214278, 213, 5, 218, server, server
99.214278, 60, 90, 61, client, client_0_150.00
99.214278, 103, 46, 104, client, client_1_150.00
99.214278, 41, 107, 43, client, client_2_150.00
99.214278, 9, 0, 10, client, client_3_10.00
100.216330, 206, 23, 229, server, server
100.216330, 33, 113, 37, client, client_0_150.00
100.216330, 108, 43, 108, client, client_1_150.00
100.216330, 56, 76, 74, client, client_2_150.00
100.216330, 9, 0, 10, client, client_3_10.00
101.217427, 119, 55, 174, server, server
101.217427, 10, 137, 13, client, client_0_150.00
101.217427, 78, 72, 78, client, client_1_150.00
101.217427, 26, 78, 73, client, client_2_150.00
101.217427, 5, 0, 10, client, client_3_10.00
102.219177, 216, 0, 216, server, server
102.219177, 96, 54, 96, client, client_0_150.00
102.219177, 64, 86, 64, client, client_1_150.00
102.219177, 45, 105, 45, client, client_2_150.00
102.219177, 11, 0, 11, client, client_3_10.00
103.220944, 257, 9, 266, server, server
103.220944, 121, 30, 121, client, client_0_150.00
103.220944, 78, 68, 82, client, client_1_150.00
103.220944, 49, 97, 53, client, client_2_150.00
103.220944, 9, 0, 10, client, client_3_10.00
104.222997, 209, 7, 216, server, server
104.222997, 100, 48, 102, client, client_0_150.00
104.222997, 69, 81, 70, client, client_1_150.00
104.222997, 31, 116, 34, client, client_2_150.00
104.222997, 9, 0, 10, client, client_3_10.00
105.224094, 201, 26, 227, server, server
105.224094, 80, 68, 82, client, client_0_150.00
105.224094, 88, 61, 89, client, client_1_150.00
105.224094, 26, 105, 46, client, client_2_150.00
105.224094, 7, 0, 10, client, client_3_10.00
106.227611, 121, 57, 178, server, server
106.227611, 9, 139, 12, client, client_0_150.00
106.227611, 82, 68, 82, client, client_1_150.00
106.227611, 25, 76, 74, client, client_2_150.00
106.227611, 5, 0, 10, client, client_3_10.00
107.229663, 194, 0, 194, server, server
107.229663, 88, 62, 88, client, client_0_150.00
107.229663, 59, 92, 59, client, client_1_150.00
107.229663, 37, 113, 37, client, client_2_150.00
107.229663, 10, 0, 10, client, client_3_10.00
108.230760, 238, 9, 247, server, server
108.230760, 92, 53, 97, client, client_0_150.00
108.230760, 80, 70, 80, client, client_1_150.00
108.230760, 57, 91, 60, client, client_2_150.00
108.230760, 9, 0, 10, client, client_3_10.00
109.234277, 236, 5, 241, server, server
109.234277, 113, 38, 113, client, client_0_150.00
109.234277, 65, 83, 67, client, client_1_150.00
109.234277, 48, 99, 51, client, client_2_150.00
109.234277, 10, 0, 10, client, client_3_10.00
110.236329, 213, 53, 266, server, server
110.236329, 84, 37, 113, client, client_0_150.00
110.236329, 82, 68, 83, client, client_1_150.00
110.236329, 39, 90, 60, client, client_2_150.00
110.236329, 8, 0, 10, client, client_3_10.00
111.237426, 201, 260, 461, server, server
111.237426, 0, 0, 150, client, client_0_150.00
111.237426, 150, 0, 150, client, client_1_150.00
111.237426, 51, 0, 151, client, client_2_150.00
111.237426, 0, 0, 10, client, client_3_10.00
112.240944, 190, 58, 248, server, server
112.240944, 23, 99, 52, client, client_0_150.00
112.240944, 52, 98, 52, client, client_1_150.00
112.240944, 109, 16, 134, client, client_2_150.00
112.240944, 6, 0, 10, client, client_3_10.00
113.242996, 207, 9, 216, server, server
113.242996, 67, 82, 68, client, client_0_150.00
113.242996, 68, 82, 69, client, client_1_150.00
113.242996, 62, 81, 69, client, client_2_150.00
113.242996, 10, 0, 10, client, client_3_10.00
114.244093, 196, 8, 204, server, server
114.244093, 60, 85, 65, client, client_0_150.00
114.244093, 64, 86, 64, client, client_1_150.00
114.244093, 62, 86, 65, client, client_2_150.00
114.244093, 10, 0, 10, client, client_3_10.00
115.247610, 208, 56, 264, server, server
115.247610, 53, 66, 85, client, client_0_150.00
115.247610, 84, 66, 84, client, client_1_150.00
115.247610, 64, 65, 85, client, client_2_150.00
115.247610, 7, 0, 10, client, client_3_10.00
116.249662, 201, 126, 327, server, server
