t,goodput,throttled,offered,type,name
82.176838, 211, 5, 216, server, server
82.176838, 13, 138, 13, client, client_0_150.00
82.176838, 126, 24, 126, client, client_1_150.00
82.176838, 62, 83, 67, client, client_2_150.00
82.176838, 10, 0, 10, client, client_3_10.00
83.181251, 212, 5, 217, server, server
83.181251, 23, 127, 23, client, client_0_150.00
83.181251, 127, 24, 127, client, client_1_150.00
83.181251, 54, 93, 57, client, client_2_150.00
83.181251, 8, 0, 10, client, client_3_10.00
84.181770, 203, 5, 208, server, server
84.181770, 19, 129, 21, client, client_0_150.00
84.181770, 120, 29, 121, client, client_1_150.00
84.181770, 54, 95, 56, client, client_2_150.00
84.181770, 10, 0, 10, client, client_3_10.00
85.182367, 195, 4, 199, server, server
85.182367, 12, 137, 13, client, client_0_150.00
85.182367, 119, 31, 119, client, client_1_150.00
85.182367, 53, 94, 56, client, client_2_150.00
85.182367, 11, 0, 11, client, client_3_10.00
86.183504, 203, 4, 207, server, server
86.183504, 16, 134, 17, client, client_0_150.00
86.183504, 121, 29, 121, client, client_1_150.00
86.183504, 56, 91, 59, client, client_2_150.00
86.183504, 10, 0, 10, client, client_3_10.00
87.187917, 203, 6, 209, server, server
87.187917, 14, 134, 16, client, client_0_150.00
87.187917, 117, 34, 117, client, client_1_150.00
87.187917, 63, 84, 66, client, client_2_150.00
87.187917, 9, 0, 10, client, client_3_10.00
88.188436, 178, 5, 183, server, server
88.188436, 6, 142, 8, client, client_0_150.00
88.188436, 115, 35, 115, client, client_1_150.00
88.188436, 47, 101, 50, client, client_2_150.00
88.188436, 10, 0, 10, client, client_3_10.00
89.190170, 221, 5, 226, server, server
89.190170, 15, 136, 15, client, client_0_150.00
89.190170, 132, 17, 133, client, client_1_150.00
89.190170, 64, 82, 68, client, client_2_150.00
89.190170, 10, 0, 10, client, client_3_10.00
90.194584, 203, 5, 208, server, server
90.194584, 17, 132, 18, client, client_0_150.00
90.194584, 120, 31, 120, client, client_1_150.00
90.194584, 56, 90, 60, client, client_2_150.00
90.194584, 10, 0, 10, client, client_3_10.00
91.195102, 199, 6, 205, server, server
91.195102, 32, 117, 33, client, client_0_150.00
91.195102, 120, 30, 120, client, client_1_150.00
91.195102, 38, 109, 42, client, client_2_150.00
91.195102, 9, 0, 10, client, client_3_10.00
92.196837, 189, 4, 193, server, server
92.196837, 14, 137, 14, client, client_0_150.00
92.196837, 113, 37, 113, client, client_1_150.00
92.196837, 52, 94, 56, client, client_2_150.00
92.196837, 10, 0, 10, client, client_3_10.00
93.201250, 204, 4, 208, server, server
